Town,County,Latitude,Longitude,Elevation,Population
Kilnacrew,Cavan,54.05,-7.0375,295,2815
Kilnaleck,Cavan,53.8666667,-7.3166667,495,2532
Kilsob,Cavan,54.1175,-7.6636111,288,2368
Kinagha,Cavan,54.1013889,-7.3925,488,2486
Kingscourt,Cavan,53.9080556,-6.8055556,298,3439
Knappagh House,Cavan,54.0205556,-6.9644444,403,2680
Knockbride,Cavan,53.9863889,-6.9955556,498,2455
Lahard,Cavan,53.9833333,-7.5,298,2425
Larah,Cavan,53.9933333,-7.2158333,403,2425
Latsey,Cavan,53.9872222,-7.05,498,2425
Lavey,Cavan,53.9697222,-7.2425,488,2425
Leck,Cavan,54.2980556,-7.9352778,374,2403
Ledonigan,Cavan,53.9430556,-7.075,495,2426
Legnagrow,Cavan,54.2125,-7.9052778,590,2447
Lisagoan,Cavan,53.9494444,-6.8730556,547,2841
Lisduff,Cavan,53.9663889,-7.3833333,344,2425
Lisduff,Cavan,53.7972222,-7.0294444,442,2727
Lisnageer,Cavan,54.0716667,-7.1630556,252,2680
Lisnamandra,Cavan,53.9677778,-7.4194444,249,2425
Lisreagh,Cavan,53.9516667,-7.3325,498,2426
Madabawn Bridge,Cavan,54.0297222,-7.0225,337,2501
Magherintemple,Cavan,54.0955556,-7.2197222,252,3008
McShanes Bridge,Cavan,54.066667,-7.2236111,242,2622
McShanes Bridge,Cavan,54.066667,-7.2236111,242,2622
Milltown,Cavan,54.065,-7.4775,255,2414
Milltown,Cavan,53.9819444,-6.9130556,492,2774
Moher,Cavan,54.1188889,-7.6311111,344,2368
Moneensauran,Cavan,54.1725,-7.8783333,774,2271
Money,Cavan,53.9819444,-6.9130556,492,2774
Moneynure,Cavan,54.13,-7.7375,285,2364
Mountain House,Cavan,53.98,-7.1086111,541,2425
Mountain Lodge,Cavan,53.98,-7.1086111,541,2425
Muinchille,Cavan,54.0725,-7.0819444,269,2681
Mullagh,Cavan,53.8130556,-6.9513889,416,3523
Mully,Cavan,54.2030556,-7.9022222,495,2271
New Inn,Cavan,53.9019444,-7.1769444,498,2423
Nolagh,Cavan,53.9486111,-6.9213889,620,2486
Northlands,Cavan,53.9630556,-6.8588889,498,3051
Oggal,Cavan,54.2597222,-7.9266667,547,2324
Ouley,Cavan,54.0375,-7.315,324,2420
Plush,Cavan,54.0594444,-7.3691667,232,2435
Poles,Cavan,53.9877778,-7.2797222,501,2425
