Town,County,Latitude,Longitude,Elevation,Population
Glanleam,Kerry,51.9166667,-10.3166667,272,1012
Glanlough,Kerry,51.8025,-9.9911111,157,1779
Glanlough,Kerry,52.2058333,-9.9791667,744,2049
Glanlough,Kerry,51.8775,-9.4388889,600,2441
Glanmore Bridge,Kerry,51.7272222,-9.7805556,380,3273
Glanoe,Kerry,52.3691667,-9.5636111,528,2412
Glashananinnaun Bridge,Kerry,51.7569444,-9.855,111,1898
Glashaunrana Bridge,Kerry,52.4547222,-9.3336111,403,3080
Gleann Beithe,Kerry,52.0580556,-9.9377778,295,1656
Glen Ellen,Kerry,52.1461111,-9.7013889,242,2423
Glena Bridge,Kerry,52.3447222,-9.365,462,2927
Glenbeigh,Kerry,52.0580556,-9.9377778,295,1656
Glenderry,Kerry,52.4,-9.9002778,0,698
Glendiff,Kerry,52.2902778,-9.6194444,390,2416
Glenfleak,Kerry,52.0133333,-9.3572222,416,2430
Glin,Kerry,52.1794444,-10.2869444,419,2305
Golagh,Kerry,52.0486111,-9.8575,377,2317
Gortacareen,Kerry,52.03,-9.2916667,1043,2444
Gortaglanna,Kerry,52.4497222,-9.3925,246,2431
Gortagowan,Kerry,51.8530556,-9.8275,229,1896
Gortatlea,Kerry,51.9136111,-10.0341667,262,2436
Gortbrack,Kerry,52.2305556,-9.65,324,2419
Gortdromagh,Kerry,51.8388889,-9.9805556,616,2394
Gortglass,Kerry,52.1966667,-9.4236111,291,2422
Gortnagane,Kerry,52.0425,-9.2552778,869,2530
Gortnaleaha,Kerry,52.2794444,-9.6091667,255,2416
Gortnaprocess,Kerry,52.0972222,-9.285,508,2634
Gortnaskarry Bridge,Kerry,52.0788889,-9.6977778,72,2427
Gortormerillagh,Kerry,52.1516667,-9.6,249,2423
Gortrelig,Kerry,52.0308333,-9.8427778,495,2430
Gowlin,Kerry,52.1505556,-10.1772222,190,1873
Graffee,Kerry,52.2316667,-10.3327778,324,1535
Graigue,Kerry,52.15,-10.4616667,298,676
Gullaun,Kerry,52.1047222,-9.2936111,521,2426
Gunsborough,Kerry,52.4902778,-9.5280556,223,2405
Gweestin Bridge,Kerry,52.0944444,-9.6944444,78,2426
Headley Bridge,Kerry,52.3194444,-9.3594444,501,2610
Heirhill,Kerry,52.4186111,-9.8122222,226,1214
Hillville,Kerry,52.1105556,-9.7736111,19,2316
Hollywood,Kerry,51.8297222,-9.8955556,114,1443
Inch,Kerry,52.1497222,-9.9680556,114,1417
Inch Bridge,Kerry,52.4675,-9.5352778,219,2405
Inchec Bridge,Kerry,51.9105556,-9.3391667,869,2693
Inchicorrigane,Kerry,52.1202778,-9.3938889,580,2426
Inchinglanna,Kerry,51.9391667,-9.7636111,1381,2436
Inse,Kerry,52.1497222,-9.9680556,114,1417
Kealduff,Kerry,52.0147222,-10.013889,646,1759
Keeas,Kerry,51.9666667,-9.85,246,2433
Keelties,Kerry,52.1425,-9.6313889,390,2423
Kells,Kerry,52.0188889,-10.105,616,1448
Kenmare,Kerry,51.8833333,-9.5833333,0,2377
Kevmare,Kerry,51.8833333,-9.5833333,0,2377
Kibranagh,Kerry,52.1366667,-9.6758333,236,2423
Kilbinane Hill,Kerry,52.4075,-9.6058333,219,2409
Kilclogherane,Kerry,52.0886111,-9.6358333,193,2426
Kilcloher,Kerry,52.5675,-9.8147222,0,790
Kilcoolaght,Kerry,52.075,-9.7658333,98,2427
Kilcow,Kerry,52.2180556,-9.4913889,150,2419
Kilcummin,Kerry,52.2397222,-10.1108333,426,1690
Kilcusnaun,Kerry,52.2402778,-9.4002778,275,2419
Kilderry,Kerry,52.1372222,-9.7488889,426,2423
Kildurrih,Kerry,52.1294444,-10.4075,295,1695
Kilfenora,Kerry,52.2808333,-9.8413889,3,1077
Kilgarvan,Kerry,51.9,-9.45,282,2441
Kilkeehagh,Kerry,52.0358333,-10.0227778,656,1759
Kill,Kerry,52.045,-9.7186111,400,2427
Killaha,Kerry,51.8558333,-9.6191667,239,2184
Killarney,Kerry,52.05,-9.5166667,200,2427
Killbarly,Kerry,51.8455556,-10.2966667,836,1903
Killeenleagh Bridge,Kerry,51.9083333,-10.0644444,236,2436
Killelan,Kerry,51.9561111,-10.2875,141,1509
Killelton,Kerry,52.2308333,-9.8733333,616,1654
Killiney,Kerry,52.2494444,-10.0427778,354,1880
Killorglin,Kerry,52.1,-9.7833333,29,2316
Killowen,Kerry,51.8863889,-9.5616667,216,2377
Kilmalkedar,Kerry,52.1852778,-10.3380556,364,1756
Kilmorna,Kerry,52.4311111,-9.3758333,249,2431
Kilmoyly South,Kerry,52.3680556,-9.7708333,209,2401
Kilmurry,Kerry,52.125,-10.115,0,745
Kilnanare,Kerry,52.1641667,-9.6283333,249,2423
Kilpeaean Cross Roads,Kerry,51.8916667,-10.2177778,190,2137
Kilquane,Kerry,52.2108333,-10.3211111,278,1535
Kilquane,Kerry,52.0541667,-9.3236111,433,2427
Kilsarkan,Kerry,52.1508333,-9.4305556,688,2423
Kilshannig,Kerry,52.3116667,-10.0169444,0,336
Kilteean,Kerry,52.4619444,-9.6002778,209,2405
Kilteen,Kerry,52.4619444,-9.6002778,209,2405
Kilvickadownig,Kerry,52.1094444,-10.3983333,0,1096
Kinard,Kerry,51.8166667,-10.2833333,3,1096
Kinard,Kerry,52.1333333,-10.2,137,1873
Knights Town,Kerry,51.9269444,-10.2872222,0,1509
Knockafreaghaun,Kerry,52.3108333,-9.3480556,620,2610
Knockane,Kerry,52.0297222,-9.3547222,387,2430
Knockaneden Cross,Kerry,51.9422222,-10.0944444,482,2436
Knockanimrish,Kerry,52.0558333,-9.3863889,472,2427
Knockanure,Kerry,52.4611111,-9.3705556,265,3035
Knockatee,Kerry,52.2430556,-9.3497222,921,2419
Knockaunbrack,Kerry,52.3730556,-9.4444444,452,2412
Knockaunnaglashy,Kerry,52.1083333,-9.8941667,6,1524
Knockaunroe,Kerry,52.0816667,-9.9202778,3,1656
Knockavrogeen,Kerry,52.1625,-10.3197222,160,1736
Knockawaddra,Kerry,52.2897222,-9.6558333,246,2416
Knockbrack,Kerry,52.3336111,-9.6316667,465,2412
Knockburrane Cross Roads,Kerry,52.3919444,-9.5586111,334,2409
Knockeen Cross Roads,Kerry,52.2422222,-9.5144444,124,2419
Knockeencreen,Kerry,52.3063889,-9.3530556,620,2610
Knockeennahone,Kerry,52.1697222,-9.3447222,597,2422
Knockeens,Kerry,51.9130556,-9.4822222,334,2436
Knockmanagh,Kerry,52.0794444,-9.4347222,518,2427
Knocknaboul Cross,Kerry,52.1833333,-9.2794444,839,3259
Knocknafreaghaun,Kerry,52.0316667,-9.7119444,616,2430
Knocknaharan,Kerry,52.1488889,-9.4225,643,2423
Knocknahoran,Kerry,52.1541667,-10.2822222,213,1773
Knocknaman,Kerry,52.1230556,-9.6694444,134,2426
Knockroe,Kerry,51.9394444,-10.0355556,305,2436
Knockrower East,Kerry,52.1516667,-9.3577778,577,2423
Knoppoge,Kerry,52.3041667,-9.29,649,3753
Lackabaun,Kerry,51.8813889,-9.3183333,1043,3564
Lackamore,Kerry,52.3311111,-9.6644444,308,2413
Lackbrooder,Kerry,52.2886111,-9.3594444,695,2416
Lake Field,Kerry,52.0713889,-9.8463889,167,2317
Lakeview,Kerry,52.0630556,-9.5988889,190,2427
Lamanagh,Kerry,51.8675,-10.3736111,787,1465
Lateeve,Kerry,51.8755556,-10.3472222,728,1417
Laune Bridge,Kerry,52.0619444,-9.6133333,190,2427
Lauragh,Kerry,51.75,-9.7666667,337,3273
Lauragh Bridge,Kerry,51.7761111,-9.7705556,249,2112
Leaha Bridge,Kerry,52.1877778,-9.3580556,623,2422
Leamnaguila,Kerry,52.1380556,-9.5358333,449,2423
Leanamore,Kerry,52.5308333,-9.4344444,183,2402
Leanevglissane,Kerry,52.1452778,-9.3155556,606,2425
Leansaghane,Kerry,52.5433333,-9.6544444,246,2032
Leic Snamha,Kerry,52.4055556,-9.6169444,223,2409
Leic Snámha,Kerry,52.4055556,-9.6169444,223,2409
Lerrig,Kerry,52.35,-9.75,219,2412
Letter,Kerry,51.8908333,-9.4861111,518,2436
Letterdunane,Kerry,51.8283333,-9.57,616,3120
Letterfinish,Kerry,51.8666667,-9.8166667,515,1896
Lettergarriv,Kerry,51.9402778,-9.9005556,524,2436
Liberty Hall,Kerry,51.8713889,-9.6788889,22,1944
Lios Poil,Kerry,52.1425,-10.1602778,249,1854
Lios Póil,Kerry,52.1425,-10.1602778,249,1854
Lios Tuathail,Kerry,52.4463889,-9.485,226,2408
Lisbabe,Kerry,52.0786111,-9.3469444,426,2427
Lisdargan,Kerry,52.1602778,-10.1933333,265,1873
Lisnakealwee,Kerry,52.2716667,-10.1725,226,1222
Lispole,Kerry,52.1425,-10.1602778,249,1854
Lissatinnig Bridge,Kerry,51.9294444,-9.9952778,482,2436
Lisselton,Kerry,52.4958333,-9.5758333,187,2405
Lisselton Cross Roads,Kerry,52.4883333,-9.5755556,187,2405
Lissyconnor,Kerry,52.1011111,-9.2205556,485,3539
Listowel,Kerry,52.4463889,-9.485,226,2408
Listry,Kerry,52.1166667,-9.6666667,124,2426
Listry Bridge,Kerry,52.1166667,-9.6666667,124,2426
Lixnaw,Kerry,52.4055556,-9.6169444,223,2409
Loghill,Kerry,52.5944444,-9.1947222,150,4227
Lohercannan,Kerry,52.2666667,-9.7305556,88,2245
Lomanagh,Kerry,51.8827778,-9.4216667,462,2441
Lougher,Kerry,52.1825,-9.9913889,524,2049
Maghanknockane,Kerry,52.315,-9.5794444,997,2413
Maghanlawaun,Kerry,51.9713889,-9.7775,905,2433
Maigh Mheain,Kerry,52.5005556,-9.3713889,239,3247
Maigh Mheáin,Kerry,52.5005556,-9.3713889,239,3247
Maine Bridge,Kerry,52.1972222,-9.5716667,219,2422
Maingailaunlush,Kerry,52.3213889,-9.5522222,820,2413
Mainistir O dTorna,Kerry,52.35,-9.6833333,239,2412
Mainistir Ó dTorna,Kerry,52.35,-9.6833333,239,2412
Mall,Kerry,52.1605556,-10.0302778,269,1465
Mangerton,Kerry,51.9355556,-9.4575,324,2436
Mastergeehy,Kerry,51.8858333,-10.0961111,288,2436
Maulin,Kerry,51.9058333,-10.1325,616,2408
Maulykeavane,Kerry,52.1066667,-9.3513889,498,2426
Meanus,Kerry,52.0863889,-9.7483333,55,2426
Meennahorna,Kerry,52.3738889,-9.37,426,2927
Mill Bridge,Kerry,52.0666667,-9.5372222,223,2427
Milltown,Kerry,52.1419444,-10.2897222,0,1773
Milltown,Kerry,52.15,-9.7166667,236,2423
Minard,Kerry,52.1227778,-10.1402778,85,878
Moneycashen,Kerry,52.4825,-9.6805556,91,1671
Moneyduff,Kerry,51.9569444,-10.2108333,206,2015
Montnagee,Kerry,52.35,-9.6833333,239,2412
Moorestown,Kerry,52.2191667,-10.3411111,301,1007
Morleys Bridge,Kerry,51.9211111,-9.3861111,515,2436
Morleys Bridge,Kerry,51.9211111,-9.3861111,515,2436
Mount Rivers,Kerry,52.0861111,-9.7675,62,2316
Mount Saint Annagh,Kerry,52.2427778,-9.7525,364,2128
Mountcoal,Kerry,52.3941667,-9.5163889,492,2409
Muing,Kerry,52.2816667,-9.6808333,200,2410
Murirrigane,Kerry,52.2769444,-10.1686111,0,1222
Murreagh,Kerry,52.1869444,-10.3638889,59,1756
Mweennalaa,Kerry,52.2566667,-9.5397222,265,2416
Neesha,Kerry,51.9872222,-9.9372222,659,2433
Neidin,Kerry,51.8833333,-9.5833333,0,2377
New Chapel Cross,Kerry,51.8513889,-10.1666667,55,1863
Newmarket Cross Roads,Kerry,52.2005556,-9.3227778,807,2516
Newtown Sandes,Kerry,52.5005556,-9.3713889,239,3247
OConnell Bridge,Kerry,52.1827778,-9.5352778,239,2422
Oaghley,Kerry,52.4519444,-9.5708333,216,2408
Oilean Kerry,Kerry,52.2333333,-9.4666667,95,2419
Oileán Ciarraí,Kerry,52.2333333,-9.4666667,95,2419
Oughtiv,Kerry,51.8625,-10.0691667,616,2437
Owgarrif Bridge,Kerry,52.0155556,-9.4511111,308,2430
Ownagarry Bridge,Kerry,52.0822222,-9.7688889,62,2427
Owroe Bridge,Kerry,51.9336111,-10.0183333,324,2436
OConnell Bridge,Kerry,52.1827778,-9.5352778,239,2422
Paddock,Kerry,52.4458333,-9.7666667,413,1571
Pike Cross Roads,Kerry,52.3972222,-9.4897222,341,2409
Portmagee,Kerry,51.8861111,-10.3616667,380,1417
Poulgorm Bridge,Kerry,51.9805556,-9.3113889,695,2722
Raheen,Kerry,52.0861111,-9.3761111,498,2426
Raheen,Kerry,52.0547222,-9.2441667,656,3215
Rahtnnane,Kerry,52.1416667,-10.3855556,134,1695
Rathanny,Kerry,52.2666667,-9.5825,246,2416
Rathea,Kerry,52.3877778,-9.4791667,321,2409
Rathmore,Kerry,52.0833333,-9.2166667,498,3215
Rathscannel,Kerry,52.3661111,-9.6872222,232,2412
Reacaslagh,Kerry,52.0102778,-10.1033333,393,1448
Reacaslagh,Kerry,52.2791667,-9.2811111,849,3325
Reanagowan Cross Roads,Kerry,52.3147222,-9.5072222,564,2413
Reen,Kerry,52.1177778,-9.8,3,2015
Reen,Kerry,51.8797222,-9.6430556,141,2146
Reenard,Kerry,51.9297222,-10.26,29,1509
Reenard Cross,Kerry,51.9347222,-10.2411111,239,2015
Reenconnell,Kerry,52.1847222,-10.3158333,328,2164
Reenroe,Kerry,51.8477778,-10.2422222,6,1672
Reenrone,Kerry,51.8019444,-9.9836111,16,1779
Releagh Bridge,Kerry,51.8197222,-9.5641667,446,3120
Rice Bridge,Kerry,52.1708333,-9.3730556,518,2422
Roads,Kerry,52.0191667,-10.1455556,1213,1204
Rockfield Bridge,Kerry,52.1036111,-9.5136111,249,2426
Ross Behy,Kerry,52.0541667,-9.9775,187,1153
Rossacoosane,Kerry,51.8816667,-9.6652778,206,2146
Rossanean,Kerry,52.1488889,-9.5063889,498,2423
Roverville Cross Roads,Kerry,52.2044444,-9.5552778,213,2422
Rusheen,Kerry,52.1583333,-9.6602778,249,2423
Saints Road,Kerry,52.1572222,-10.3530556,459,1697
Saints Road,Kerry,52.1572222,-10.3530556,459,1697
Saleen,Kerry,52.5586111,-9.4644444,65,2423
Scalp Bridge,Kerry,52.2744444,-9.2905556,905,3325
Scarriff,Kerry,51.8583333,-10.1680556,72,1863
Scrahan,Kerry,52.2905556,-9.7808333,295,2039
Scrahanaveal,Kerry,52.1088889,-9.3288889,492,2426
Scrahanfadda,Kerry,52.1283333,-9.3166667,538,2425
Shannera Lower,Kerry,52.0588889,-9.7469444,249,2427
Sheen Bridge,Kerry,51.8744444,-9.5591667,209,2349
Shrone,Kerry,52.525,-9.49,187,2402
Shrone Bridge,Kerry,52.4769444,-9.505,223,2405
Shronowen,Kerry,52.5038889,-9.4536111,226,2402
Six Crosses,Kerry,52.4116667,-9.5108333,298,2409
Slaheny,Kerry,51.885,-9.4538889,498,2441
Slaheny Bridge,Kerry,51.8930556,-9.4411111,324,2441
Smerwick,Kerry,52.1944444,-10.4233333,32,912
Sneem,Kerry,51.8333333,-9.9,82,1443
Spa,Kerry,52.2833333,-9.7833333,127,2039
Stradbally,Kerry,52.2472222,-10.0663889,265,1880
Tahilla,Kerry,51.8372222,-9.8363889,9,2023
Tairbeart,Kerry,52.5727778,-9.3752778,9,2650
Talbots Bridge,Kerry,52.3183333,-9.3825,492,2433
Talbots Bridge,Kerry,52.3183333,-9.3825,492,2433
Tarbert,Kerry,52.5727778,-9.3752778,9,2650
Tarmon,Kerry,52.5380556,-9.3788889,259,2532
Tawlaght,Kerry,52.2872222,-9.8577778,0,1077
Teer,Kerry,52.2602778,-10.1816667,265,1222
Teeranearagh,Kerry,51.8686111,-10.2627778,695,1822
Teeravane,Kerry,52.1575,-10.4425,439,1362
Teernaboul,Kerry,52.0722222,-9.45,498,2427
Teeromoyle,Kerry,51.9722222,-10.0702778,744,2341
The Knights Bridge,Kerry,52.4280556,-9.4422222,262,2408
The Knights Bridge,Kerry,52.4280556,-9.4422222,262,2408
Tiduff,Kerry,52.2397222,-10.2994444,236,1535
Tiduff,Kerry,52.4094444,-9.9344444,206,380
Tiershanaghan,Kerry,52.4208333,-9.8527778,295,907
Tinnabally Cross Roads,Kerry,52.1338889,-9.77,262,2204
Tobernamoodane,Kerry,52.1322222,-10.1983333,137,1873
Tonevane Cross Roads,Kerry,52.2472222,-9.7333333,265,2329
Toor,Kerry,51.8,-10.1666667,311,1293
Tooreen,Kerry,52.3802778,-9.4244444,498,2409
Tooreens,Kerry,51.8427778,-10.0286111,616,2436
Tooreenyduneen,Kerry,51.8241667,-10.0444444,488,2205
Tra Li,Kerry,52.2666667,-9.7166667,124,2245
Tralee,Kerry,52.2666667,-9.7166667,124,2245
Trench Bridge,Kerry,52.2705556,-10.0294444,49,1034
Trá Lí,Kerry,52.2666667,-9.7166667,124,2245
Tullaha,Kerry,52.0294444,-9.4444444,242,2430
Tullakeel,Kerry,51.8766667,-9.8869444,190,2436
Tullamore,Kerry,52.4916667,-9.4877778,223,2405
Tullig,Kerry,52.1127778,-9.8544444,26,1766
Tullig,Kerry,52.3669444,-9.5975,249,2412
Twiss Bridge,Kerry,52.1733333,-9.4044444,393,2422
Ventry,Kerry,52.1325,-10.3669444,0,1697
Waterville,Kerry,51.8333333,-10.1666667,45,1293
West Cove,Kerry,51.7791667,-10.0769444,488,1401
White Gate Cross Roads,Kerry,52.1713889,-9.7786111,78,2292
Woodville,Kerry,52.2419444,-9.5430556,144,2419
Abbots Cross Roads,Cill Dara,52.9138889,-6.8227778,518,6397
Abbot?s Cross Roads,Cill Dara,52.9138889,-6.8227778,518,6397
Agar Bridge,Cill Dara,53.2422222,-6.9497222,305,7157
Alexandra Bridge,Cill Dara,53.2875,-6.6822222,275,7152
Allen,Cill Dara,53.2405556,-6.87,452,7161
Allenwood,Cill Dara,53.2869444,-6.8944444,262,7152
Allenwood Cross Roads,Cill Dara,53.2863889,-6.8277778,285,7152
An Baile Mor,Cill Dara,53.1333333,-6.6166667,495,6469
An Baile Mór,Cill Dara,53.1333333,-6.6166667,495,6469
An Chill,Cill Dara,53.2513889,-6.5916667,459,7319
An Chorrchoill,Cill Dara,53.2902778,-6.7538889,314,7152
An Nas,Cill Dara,53.2158333,-6.6669444,374,7161
An Nás,Cill Dara,53.2158333,-6.6669444,374,7161
An Rath Mhor,Cill Dara,53.2172222,-6.5644444,557,13039
An Ráth Mhór,Cill Dara,53.2172222,-6.5644444,557,13039
Ardmore,Cill Dara,53.0305556,-6.965,249,6905
Ardscull,Cill Dara,53.0175,-6.9091667,272,7194
Arthurstown,Cill Dara,53.2319444,-6.5733333,495,13039
Athgarvan,Cill Dara,53.1538889,-6.805,482,7175
Athy,Cill Dara,52.9913889,-6.9802778,206,5807
Baile Atha I,Cill Dara,52.9913889,-6.9802778,206,5807
Baile Riobaird,Cill Dara,53.2741667,-6.8177778,311,7152
Baile Átha Í,Cill Dara,52.9913889,-6.9802778,206,5807
Ballagh Cross Roads,Cill Dara,53.3533333,-6.7602778,298,7077
Ballindrum,Cill Dara,53.0161111,-6.8894444,314,7194
Ballitore,Cill Dara,53.069444,-6.8194444,492,7122
Ballyadam,Cill Dara,53.0361111,-6.8913889,324,7194
Ballybarney,Cill Dara,53.0594444,-6.8244444,472,7122
Ballybrack,Cill Dara,53.3752778,-6.7102778,275,6372
Ballycullane,Cill Dara,52.9858333,-6.9158333,255,7140
Ballyhagan,Cill Dara,53.3413889,-6.9780556,259,6627
Ballykelly Cross Roads,Cill Dara,53.1627778,-7.0402778,249,6754
Ballymore Eustace,Cill Dara,53.1333333,-6.6166667,495,6469
Ballymount,Cill Dara,53.0525,-6.8080556,456,7122
Ballynacarrick Upper,Cill Dara,52.9272222,-6.8125,498,7030
Ballynadrumny,Cill Dara,53.4247222,-6.9569444,285,5717
Ballynagussaun,Cill Dara,53.0530556,-6.8636111,410,7189
Ballyroe,Cill Dara,53.0205556,-7.0522222,226,4825
Ballyroe Cross Roads,Cill Dara,52.9588889,-6.9372222,236,6595
Baltracey Cross Roads,Cill Dara,53.3477778,-6.6908333,272,6994
Baronrath,Cill Dara,53.2833333,-6.6011111,298,7319
Barreen,Cill Dara,53.35,-6.6686111,259,6994
Battiemount,Cill Dara,53.0277778,-6.8708333,419,7194
Beal Atha an Tuair,Cill Dara,53.069444,-6.8194444,492,7122
Belaghstown Cross Roads,Cill Dara,53.3116667,-6.7202778,291,7147
Bert Bridge,Cill Dara,53.0172222,-7.0191667,203,6298
Bigstone,Cill Dara,52.9038889,-6.7558333,439,5786
Blackrath Gate,Cill Dara,53.0377778,-6.7869444,462,6163
Blackwood,Cill Dara,53.2866667,-6.8091667,305,7152
Boakefield,Cill Dara,53.086111,-6.8516667,433,7180
Bodenstown,Cill Dara,53.2675,-6.6716667,291,7152
Boherbaun Lower,Cill Dara,53.0661111,-6.9980556,236,7189
Boherhole Cross Roads,Cill Dara,53.3244444,-6.6983333,278,7147
Boley Cross Roads,Cill Dara,53.0638889,-6.9205556,278,7189
Boleybeg Cross Roads,Cill Dara,53.1077778,-6.6513889,538,6160
Bonvoge Bridge,Cill Dara,53.2736111,-6.7830556,328,7152
Bostoncommon,Cill Dara,53.2330556,-6.9519444,396,7157
Boycetown,Cill Dara,53.4125,-6.7005556,265,6088
Brannockstown,Cill Dara,53.1213889,-6.6897222,436,6531
Bray,Cill Dara,52.9825,-6.9444444,236,6595
Brewel,Cill Dara,53.0516667,-6.75,465,6107
Brockagh,Cill Dara,53.2888889,-6.8441667,278,7152
Broomfield Cross Roads,Cill Dara,52.985,-6.8577778,328,7203
Brownstown Cross Roads,Cill Dara,53.1258333,-6.8475,449,7175
Bull Ring Cross Roads,Cill Dara,53.2166667,-6.9027778,501,7161
Bullhill,Cill Dara,53.0677778,-6.8255556,488,7122
Bunglass,Cill Dara,53.4341667,-6.9875,291,5688
Burtown Cross Roads,Cill Dara,52.9911111,-6.8938889,288,7140
Béal Atha an Tuair,Cill Dara,53.069444,-6.8194444,492,7122
Cadamstown,Cill Dara,53.4022222,-6.9547222,288,6783
Calfstown,Cill Dara,53.39,-6.9513889,282,6783
Calverstown,Cill Dara,53.0819444,-6.8005556,498,7122
Cappagh,Cill Dara,53.3197222,-6.8572222,278,7147
Cappanargid,Cill Dara,53.2491667,-6.9538889,249,7157
Carbury,Cill Dara,53.3586111,-6.9658333,269,6627
Carbury Sweep,Cill Dara,53.37,-6.9327778,265,7077
Carragh,Cill Dara,53.2402778,-6.7355556,314,7161
Carragh Bridge,Cill Dara,53.2313889,-6.7225,314,7161
Carrigeen Cross Roads,Cill Dara,52.9161111,-6.7491667,469,5013
Carton,Cill Dara,53.3925,-6.5636111,209,5641
Castledermot,Cill Dara,52.9088889,-6.8422222,508,6543
Castlemitchell South,Cill Dara,52.9888889,-7.0677778,269,4231
Castlereban North,Cill Dara,53.0319444,-7.0702778,223,4825
Castleroe Cross Roads,Cill Dara,52.9058333,-6.9113889,236,6060
Castletown,Cill Dara,53.3522222,-6.5269444,170,31261
Cattos Cross Roads,Cill Dara,52.9736111,-7.0163889,219,5065
Catto?s Cross Roads,Cill Dara,52.9736111,-7.0163889,219,5065
Celbridge,Cill Dara,53.3386111,-6.5436111,173,10616
Cherryville,Cill Dara,53.1569444,-6.9666667,364,7155
Churchtown,Cill Dara,53.058333,-7.0508333,216,5048
Cill Choca,Cill Dara,53.4022222,-6.6708333,255,6088
Cill Chuillinn,Cill Dara,53.1302778,-6.7444444,374,7175
Cill Dara,Cill Dara,53.1561111,-6.9144444,380,7175
Cill Droichid,Cill Dara,53.3386111,-6.5436111,173,10616
Cill Maodhog,Cill Dara,53.2519444,-6.8419444,390,7152
Cill Maodhóg,Cill Dara,53.2519444,-6.8419444,390,7152
Clane,Cill Dara,53.2913889,-6.6891667,272,7152
Claonadh,Cill Dara,53.2913889,-6.6891667,272,7152
Clogharinka,Cill Dara,53.4011111,-7.0161111,314,6035
Clogheen,Cill Dara,53.1341667,-7.0941667,229,4070
Clogheen,Cill Dara,53.1808333,-7.0733333,249,5178
Clonagh,Cill Dara,53.3783333,-6.8175,298,6129
Cloncumber,Cill Dara,53.2541667,-6.9005556,324,7152
Cloncurry,Cill Dara,53.2369444,-6.9488889,396,7157
Cloncurry,Cill Dara,53.4169444,-6.7902778,285,5133
Clondoolusk,Cill Dara,53.1661111,-7.1405556,252,3138
Clonegath Cross Roads,Cill Dara,53.1202778,-7.0433333,255,5144
Cloney,Cill Dara,53.0644444,-7.0483333,216,5048
Cloneybeg,Cill Dara,53.0672222,-6.9869444,246,7189
Clongorey,Cill Dara,53.2261111,-6.8088889,383,7161
Clonkeen,Cill Dara,53.3383333,-6.9944444,269,6627
Clonkeen Cross Roads,Cill Dara,53.3486111,-6.9980556,285,6627
Clonkeen Cross Roads,Cill Dara,53.3383333,-6.9944444,269,6627
Clonsast,Cill Dara,53.3819444,-6.6819444,262,6088
Clownings,Cill Dara,53.1825,-6.7525,360,7166
Colbinstown,Cill Dara,53.0316667,-6.7480556,472,5319
Collinstown,Cill Dara,53.0316667,-6.7480556,472,5319
Connaught Bridge,Cill Dara,53.2005556,-6.7086111,347,7166
Connellmore,Cill Dara,53.1716667,-6.7725,360,7166
Coolaght,Cill Dara,53.2508333,-6.8180556,367,7152
Coolayna Haggard,Cill Dara,53.3697222,-7.016667,311,5615
Coolearagh,Cill Dara,53.2991667,-6.845,282,7147
Cooleland Cross Roads,Cill Dara,53.2366667,-7.0480556,249,4213
Corbally,Cill Dara,53.1555556,-6.7405556,370,7175
Corbally Cross Roads,Cill Dara,53.1555556,-6.7405556,370,7175
Corbaly,Cill Dara,53.1555556,-6.7405556,370,7175
Courtown Bridge,Cill Dara,53.3969444,-6.6819444,259,6088
Crinstown Cross Roads,Cill Dara,53.3677778,-6.6211111,252,6740
Crockaun,Cill Dara,53.0963889,-6.8341667,479,7180
Crookstown,Cill Dara,53.0152778,-6.8105556,495,6922
Crosskeys,Cill Dara,53.1036111,-7.02,246,6619
Curragh Camp,Cill Dara,53.1472222,-6.8363889,472,7175
Curragh View,Cill Dara,53.1591667,-6.8844444,436,7175
Davidstown,Cill Dara,53.0747222,-6.8336111,479,7189
Derreens,Cill Dara,53.2333333,-6.7797222,347,7161
Derrinturn,Cill Dara,53.3416667,-6.9411111,249,7077
Derrybrennan,Cill Dara,53.2972222,-6.9713889,232,6252
Derrymullen,Cill Dara,53.2786111,-6.8905556,259,7152
Derryvarroge,Cill Dara,53.3505556,-6.81,301,6972
Devonshire Bridge,Cill Dara,53.2663889,-6.6211111,341,7319
Digby Bridge,Cill Dara,53.2616667,-6.7075,298,7152
Diseart Diarmada,Cill Dara,52.9088889,-6.8422222,508,6543
Donadea,Cill Dara,53.3502778,-6.7458333,295,7116
Donagheumper,Cill Dara,53.3447222,-6.5277778,183,31261
Droichead Nua,Cill Dara,53.1819444,-6.7966667,354,7166
Droichead Nuadh,Cill Dara,53.1819444,-6.7966667,354,7166
Drumsru,Cill Dara,53.26,-6.9338889,249,7086
Duftys Cross Roads,Cill Dara,53.3905556,-6.9991667,308,6707
Dufty?s Cross Roads,Cill Dara,53.3905556,-6.9991667,308,6707
Duke Street,Cill Dara,52.9341667,-6.9288889,209,5728
Dunbrin,Cill Dara,52.9688889,-6.9941667,200,5807
Dunbyrne,Cill Dara,53.2275,-6.8580556,488,7161
Duneany Cross Roads,Cill Dara,53.1113889,-6.9805556,249,7180
Dunfierth Cross Roads,Cill Dara,53.3916667,-6.8344444,291,6129
Dunmanoge,Cill Dara,52.8908333,-6.9197222,209,4798
Dunshane,Cill Dara,53.1538889,-6.6961111,383,7141
Dysart,Cill Dara,53.3891667,-6.8061111,288,6129
Díseart Diarmada,Cill Dara,52.9088889,-6.8422222,508,6543
